ID,school_code,school_year,rolled_into,district_code_IWL,district_code_lea,school_type_iwl,school_type_other,is_open,name_iwl,name_hub,low_grade,high_grade,grade_config_IWL,grade_config_HUB,street1,street2,city,zip,phone,url,principal,principal_label,num_students,num_teachers,notes,name_short,district_name,name_short_lea,corecity_4_yn,corecity_5_yn,corecity_6_yn,charter_yn,compare_py_dsc,elem_yn,middle_yn,high_yn,pk_only_yn,title1_yn,grade_span,include_IWL_file_yn,display_yn_HUB,nces_code,ACT_CEEB_code,ucoa_code,ucoa_leacode,ctract2010,cblock2010,ctract2000,cblock2000,MC_yn,neighborhood
5457,07103,2014-2015,,07,07,Public School,,Y,Oak Lawn School,Oak Lawn School,PK,6,Emh,Elementary,36 Stoneham Street,,Cranston,02920,4012708004,http://oaklawnschool.wix.com/index,James Zanfini,Principal,260,,,Oak Lawn,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000059,,,,44007014600,,,,N,
5458,07108,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440024000054,,,,,,,,,
5459,07110,2014-2015,,07,07,Public School,,Y,Daniel D. Waterman School,Daniel D. Waterman School,PK,6,Emh,Elementary,722 Pontiac Avenue,,Cranston,02910,4012708013,http://ddwatermanschool.weebly.com/,Paul DePalma,Principal,246,,,Waterman,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000046,,,,44007013800,,,,N,
5460,07112,2014-2015,,07,07,Public School,,Y,Chester W. Barrows School,Chester W. Barrows School,PK,5,Emh,Elementary,9 Beachmont Avenue,,Cranston,02905,4012708160,http://cpsed.net/barrows/revised/site/Welcome.html,Katrina Pillay,Principal,185,,,Chester Barrows,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440024000043,,,,44007013500,,,,N,
5461,07113,2014-2015,,07,07,Public School,,Y,Cranston High School East,Cranston High School East,9,12,emH,High,899 Park Avenue,,Cranston,02910,4012708126,http://cpsed.net/chse/,Sean Kelly,Principal,1545,,,Cranston HS East,Cranston,Cranston,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440024000044,400035,,,44007014000,,,,N,
5462,07115,2014-2015,,07,07,Public School,,Y,Hugh B. Bain Middle School,Hugh B. Bain Middle School,7,8,eMh,Middle,135 Gansett Avenue,,Cranston,02910,4012708010,http://bainhome.weebly.com/,Jenny Remka,Principal,493,,,Bain MS,Cranston,Cranston,N,N,N,N,,N,Y,N,N,,7 to 8,Y,Y,440024000053,,,,44007014700,,,,N,
5463,07116,2014-2015,,07,07,Public School,,Y,William R. Dutemple School,William R. Dutemple School,PK,6,Emh,Elementary,32 Garden Street,,Cranston,02910,4012708104,http://dutemple.wix.com/index,Beth Basile-Daggett,Principal,331,,,Dutemple,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000068,,,,44007013701,,,,N,
5464,07117,2014-2015,,07,07,Public School,,Y,Edward S. Rhodes School,Edward S. Rhodes School,PK,6,Emh,Elementary,160 Shaw Avenue,,Cranston,02905,4012708110,http://edward-s-rhodes.wikispaces.com/,Erica Stackhouse,Principal,259,,,Rhodes,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000049,,,,44007013400,,,,N,
5465,07118,2014-2015,,07,07,Public School,,Y,Eden Park School,Eden Park School,PK,6,Emh,Elementary,180 Oakland Avenue,,Cranston,02910,4012708029,http://edenparkelementary.weebly.com/,Courtney Sevigny,Principal,353,,,Eden Park,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000047,,,,44007013702,,,,N,
5466,07119,2014-2015,,07,07,Public School,,Y,Gladstone Street School,Gladstone Street School,PK,6,Emh,Elementary,50 Gladstone Street,,Cranston,02920,4012708080,http://gladstoneschool.weebly.com/,Susan Buonanno,Principal,569,,,Gladstone St,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000051,,,,44007014100,,,,N,
5467,07120,2014-2015,,07,07,Public School,,Y,Stadium School,Stadium School,PK,6,Emh,Elementary,100 Crescent Avenue,,Cranston,02910,4012708188,http://stadiumelementary.weebly.com/index.html,Cheri Sacco,Princiapl,359,,,Stadium,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000063,,,,44007014000,,,,N,
5468,07121,2014-2015,,07,07,Public School,,Y,Woodridge School,Woodridge School,PK,6,Emh,Elementary,401 Budlong Road,,Cranston,02920,4012708007,http://cpsed.net/wood/,Charlotte Josephs,Principal,342,,,Woodridge,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000069,,,,44007014300,,,,N,
5469,07122,2014-2015,,07,07,Public School,,Y,Garden City School,Garden City School,PK,6,Emh,Elementary,70 Plantations Drive,,Cranston,02920,4012708073,http://www.gardencityelementaryschool.com/index.html,Tonianne Napolitano,Principal,320,,,Garden City,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000050,,,,44007013900,,,,N,
5470,07123,2014-2015,,07,07,Public School,,Y,Park View Middle School,Park View Middle School,7,8,eMh,Middle,25 Park View Boulevard,,Cranston,02910,4012708090,http://cpsed.net/pview/,Michael Crudale,Principal,504,,,Park View MS,Cranston,Cranston,N,N,N,N,,N,Y,N,N,,7 to 8,Y,Y,440024000060,,,,44007013600,,,,N,
5471,07124,2014-2015,,07,07,Public School,,Y,George J. Peters School,George J. Peters School,PK,6,Emh,Elementary,15 Mayberry Street,,Cranston,02920,4012708199,http://georgejpeters.wix.com/georgejpeters,Patricia Caporelli,Principal,328,,,Peters,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000351,,,,44007014700,,,,N,
5472,07125,2014-2015,,07,07,Public School,,Y,Arlington School,Arlington School,PK,6,Emh,Elementary,155 Princess Avenue,,Cranston,02920,4012708179,http://arlingtonallstars.wikispaces.com/home,Michelle David,Principal,278,,,Arlington,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000042,,,,44007014700,,,,N,
5473,07126,2014-2015,,07,07,Public School,,Y,Cranston High School West,Cranston High School West,9,12,emH,High,80 Metropolitan Avenue,,Cranston,02920,4012708049,http://cpsed.net/chsw/index.htm,Thomas Barbieri,Principal,1462,,,Cranston HS West,Cranston,Cranston,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440024000045,400036,,,44007014502,,,,N,
5474,07127,2014-2015,,07,07,Public School,,Y,Stone Hill School,Stone Hill School,PK,6,Emh,Elementary,21 Village Avenue,,Cranston,02920,4012708022,http://cpsed.net/stonehil/,Norma Cole,Principal,322,,,Stone Hill,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000064,,,,44007014800,,,,N,
5475,07128,2014-2015,,07,07,Public School,,Y,Glen Hills School,Glen Hills School,PK,6,Emh,Elementary,50 Glen Hills Drive,,Cranston,02920,4012708005,http://www.glen-hills.net/,John DeCristofaro,Principal,326,,,Glen Hills,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000052,,,,44007014400,,,,N,
5476,07129,2014-2015,,07,07,Public School,,Y,Western Hills Middle School,Western Hills Middle School,7,8,eMh,Middle,400 Phenix Avenue,,Cranston,02920,4012708030,http://cpsed.net/whills/,Anthony Corrente,Principal,716,,,Western Hills,Cranston,Cranston,N,N,N,N,,N,Y,N,N,,7 to 8,Y,Y,440024000067,,,,44007014502,,,,N,
5477,07130,2014-2015,,07,07,Public School,,Y,Edgewood Highland School,Edgewood Highland School,PK,6,Emh,Elementary,160 Pawtuxet Avenue,,Cranston,02905,4012708065,http://edgewoodhighlandschool.wikispaces.com/,Marlene Gamba,Principal,280,,,Edgewood Highland,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000048,,,,44007013500,,,,N,
5478,07134,2014-2015,,07,07,Public School,,Y,Hope Highlands Elementary School,Hope Highlands Elementary School,PK,6,Emh,Elementary,300 Hope Road,,Cranston,02921,4012708148,http://www.hopehighlands.net/Pages/default.aspx,Roxanne Murphy,Principal,389,,,Hope Highlands,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000007,,,,44007014600,,,,N,
5479,07135,2014-2015,,07,07,District Charter School,,Y,NE Laborers'/Cranston Public Schools Construction Career Academy,NE Laborers'/Cranston Public Schools Construction Career Academy,9,12,emH,High,4 Sharpe Drive,,Cranston,02920,4012708692,http://charter.cpsed.net/home.asp,Dennis Curran,Principal,146,,,NEL/CPS HS,Cranston,Cranston,N,N,N,Y,,N,N,Y,N,,9 to 12,Y,Y,440024000229,400034,,,44007014200,,,,N,
5480,07136,2014-2015,,07,07,Public School,,Y,Orchard Farms Elementary School,Orchard Farms Elementary School,PK,6,Emh,Elementary,1555 Scituate Avenue,,Cranston,02921,4012708801,https://sites.google.com/site/orchardfarmselementaryschool/,Kim Magnelli,Principal,307,,,Orchard Farms,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000277,,,,44007014600,,,,N,
5481,07702,2014-2015,,,67,State Operated School,,Y,DCYF Alternative Education Program,DCYF Alternative Education Program,7,12,eMH,,57 Power Road,,Cranston,02920,4014627248,,William F. Cauley,Principal,75,,"In 2014-15, grade 7 was added.",DCYF Alt. Ed.,DCYF,DCYF,N,N,N,N,,N,Y,Y,N,,7 to 12,N,N,440000900413,,,,,,,,N,
5482,08107,2014-2015,,08,08,Public School,,Y,B.F. Norton Elementary School,B.F. Norton Elementary School,K,5,Emh,Elementary,364 Broad Street,,Cumberland,02864,4017227610,http://www.cumberlandschools.org/content/bf-norton-school,Antonio Dimanna,Principal,432,,,B.F. Norton,Cumberland,Cumberland,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440027000039,,,,44007011200,,,,N,
5483,08108,2014-2015,,08,08,Public School,,Y,Garvin Memorial School,Garvin Memorial School,K,5,Emh,Elementary,1364 Diamond Hill Road,,Cumberland,02864,4013332557,http://www.cumberlandschools.org/content/garvin-memorial-school,Judith Bassignani,Principal,387,,,Garvin Mem.,Cumberland,Cumberland,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440027000081,,,,44007011301,,,,N,
5484,08109,2014-2015,,08,08,Public School,,Y,Community School,Community School,K,5,Emh,Elementary,15 Arnold Mills Road,,Cumberland,02864,4013335724,http://www.cumberlandschools.org/content/community-school,Cindy Giroux,Principal,610,,,Community,Cumberland,Cumberland,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440027000075,,,,44007011401,,,,N,
5485,08110,2014-2015,,08,08,Public School,,Y,John J. McLaughlin Cumberland Hill School,John J. McLaughlin Cumberland Hill School,K,5,Emh,Elementary,205 Manville Hill Road,,Cumberland,02864,4016581660,http://www.cumberlandschools.org/content/john-j-mclaughlin-cumberland-hill-school,Elizabeth Coogan,Principal,346,,,JJM Cumb. Hill,Cumberland,Cumberland,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440027000077,,,,44007011403,,,,N,
5486,08112,2014-2015,,08,08,Public School,,Y,Ashton School,Ashton School,K,5,Emh,Elementary,130 Scott Road,,Cumberland,02864,4013330554,http://www.cumberlandschools.org/content/Ashton,Nidia Karbonik,Principal,246,,,Ashton,Cumberland,Cumberland,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440027000070,,,,44007011401,,,,N,
5487,08114,2014-2015,,08,08,Public School,,Y,Cumberland High School,Cumberland High School,9,12,emH,High,2600 Mendon Road,,Cumberland,02864,4016582600,http://www.cumberlandschools.org/content/cumberland-high-school,Alan Tenreiro,Principal,1283,,,Cumberland HS,Cumberland,Cumberland,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440027000076,400037,,,44007011403,,,,N,
5488,08115,2014-2015,,08,08,Public School,,Y,Joseph L. McCourt Middle School,Joseph L. McCourt Middle School,6,8,eMh,Middle,45 Highland Avenue,,Cumberland,02864,4017252092,http://www.cumberlandschools.org/content/joseph-l-mccourt-middle-school,Jason Masterson,Principal,460,,,McCourt MS,Cumberland,Cumberland,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440027000078,,,,44007011200,,,,N,
5489,08116,2014-2015,,08,08,Public School,,Y,North Cumberland Middle School,North Cumberland Middle School,6,8,eMh,Middle,400 Nate Whipple Highway,,Cumberland,02864,4013336306,http://www.cumberlandschools.org/content/north-cumberland-middle-school,Bethany Coughlin,Principal,663,,,N. Cumberland MS,Cumberland,Cumberland,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440027000082,,,,44007011402,,,,N,
5490,08118,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,
5491,08121,2014-2015,,08,08,Public School,,Y,Cumberland Preschool Center,Cumberland Preschool Center,PK,PK,Emh,Elementary,130 Scott Road,,Cumberland,02864,4016581600,http://www.cumberlandschools.org/elementaryschools/pre-school,Kathleen Gibney,Principal,80,,,Cumberland Preschool (PreK),Cumberland,Cumberland,N,N,N,N,,Y,N,N,Y,,PK to PK,Y,Y,440027000188,,,,44007011200,440070112005015,,,N,
5492,08601,2014-2015,,08,47,Independent Charter School,,Y,Blackstone Valley Prep Elementary School,Blackstone Valley Prep Elementary School,K,4,Emh,Elementary,291 Broad Street,,Cumberland,02864,4013353133,http://www.blackstonevalleyprep.org/elementary-school-1,Kyle Quadros,Principal,418,,,Blackstone Valley Prep Elem 1,"Blackstone Valley Prep, A RI Mayoral Academy",Blackstone Valley Prep RIMA,N,N,N,Y,Compare with caution.,Y,N,N,N,,K to 4,Y,Y,440001500473,,,,44007011200,,,,N,
5493,08602,2014-2015,,08,47,Independent Charter School,,Y,Blackstone Valley Prep Middle School,Blackstone Valley Prep Middle School,5,8,eMh,Middle,3 Fairlawn Way,,Lincoln,02865,4014752680,http://www.blackstonevalleyprep.org/middle-school-1,Joy Souza,Principal,332,,,Blackstone Valley Prep MS,"Blackstone Valley Prep, A RI Mayoral Academy",Blackstone Valley Prep RIMA,N,N,N,Y,Compare with caution.,N,Y,N,N,,5 to 8,Y,Y,440001500475,,,,44007011200,,,,N,
5494,08603,2014-2015,,08,47,Independent Charter School,,Y,Blackstone Valley Prep Elementary 2 School,Blackstone Valley Prep Elementary 2 School,K,3,Emh,Elementary,7 Fatima Drive,,Cumberland,02864,4013353133,http://www.blackstonevalleyprep.org/elementary-school-2,Colleen Colarusso,Principal,327,,"In 2014-15, grade 3 was added.",Blackstone Valley Prep Elem 2,"Blackstone Valley Prep, A RI Mayoral Academy",Blackstone Valley Prep RIMA,N,N,N,Y,,Y,N,N,N,,K to 3,Y,Y,,,,,44007011200,,,,N,
5809,08604,2014-2015,,08,47,Independent Charter School,,Y,Blackstone Valley Prep High School,Blackstone Valley Prep High School,9,9,emH,High,291 Broad Street,,Cumberland,02864,4018713131,http://www.blackstonevalleyprep.org/high-school,Jonathon Santos Silva,Principal,97,,"In 2014-2015, this school was opened.",,"Blackstone Valley Prep, A RI Mayoral Academy",,N,N,N,Y,,N,N,Y,N,,9 to 9,Y,Y,,,,,,,,,,
5495,09102,2014-2015,,09,09,Public School,,Y,James H. Eldredge Elementary School,James H. Eldredge Elementary School,3,5,Emh,Elementary,101 First Avenue,,East Greenwich,02818,4018863246,http://www.egsd.net/Eldredge.cfm?subpage=620387,Domenic Giusti,Principal,298,,,Eldredge,East Greenwich,E. Greenwich,N,N,N,N,,Y,N,N,N,,3 to 5,Y,Y,440030000089,,,,44003020901,,,,N,
5496,09103,2014-2015,,09,09,Public School,,Y,Archie R. Cole Middle School,Archie R. Cole Middle School,6,8,eMh,Middle,100 Cedar Avenue,,East Greenwich,02818,4013981213,http://www.egsd.net/MiddleSchool.cfm?subpage=620383,Alexis Meyer,Principal,617,,,Cole MS,East Greenwich,E. Greenwich,N,N,N,N,Compare with caution.,N,Y,N,N,,6 to 8,Y,Y,440030000087,,,,44003020901,,,,N,
