ID,school_code,school_year,rolled_into,district_code_IWL,district_code_lea,school_type_iwl,school_type_other,is_open,name_iwl,name_hub,low_grade,high_grade,grade_config_IWL,grade_config_HUB,street1,street2,city,zip,phone,url,principal,principal_label,num_students,num_teachers,notes,name_short,district_name,name_short_lea,corecity_4_yn,corecity_5_yn,corecity_6_yn,charter_yn,compare_py_dsc,elem_yn,middle_yn,high_yn,pk_only_yn,title1_yn,grade_span,include_IWL_file_yn,display_yn_HUB,nces_code,ACT_CEEB_code,ucoa_code,ucoa_leacode,ctract2010,cblock2010,ctract2000,cblock2000,MC_yn,neighborhood
5816,06117,2015-2016,,06,06,Public School,,Y,Blackrock School,Blackrock School,PK,5,Emh,Elementary,12 LaCasa Drive,,Coventry,02816,4018229450,http://schools.coventryschools.net/Blackrock/,Nicole Hitchener,Principal,414,,,Blackrock,Coventry,Coventry,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440021000031,,,,44003020601,,,,N,
5817,06119,2015-2016,,06,06,Public School,,Y,Coventry High School,Coventry High School,9,12,emH,High,40 Reservoir Road,,Coventry,02816,4018229499,http://schools.coventryschools.net/highschool/,Michael J. Hobin,Principal,1505,,,Coventry HS,Coventry,Coventry,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440021000032,400030,,,44003020703,,,,N,
5818,06121,2015-2016,,06,06,Public School,,Y,Washington Oak School,Washington Oak School,PK,5,Emh,Elementary,801 Read School House Road,,Coventry,02816,4013971976,http://www.coventryschools.net/,Don Cowart,Principal,548,,,Washington Oak,Coventry,Coventry,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440021000034,,,,44003020703,,,,N,
5819,07103,2015-2016,,07,07,Public School,,Y,Oak Lawn School,Oak Lawn School,K,6,Emh,Elementary,36 Stoneham Street,,Cranston,02920,4012708004,http://oaklawnschool.wix.com/index/,James Zanfini,Principal,249,,"In 2015-16, grade PK was dropped.",Oak Lawn,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,K to 6,Y,Y,440024000059,,,,44007014600,,,,N,
5820,07108,2015-2016,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440024000054,,,,,,,,,
5821,07110,2015-2016,,07,07,Public School,,Y,Daniel D. Waterman School,Daniel D. Waterman School,K,6,Emh,Elementary,722 Pontiac Avenue,,Cranston,02910,4012708013,http://ddwatermanschool.weebly.com/,Paul DePalma,Principal,269,,"In 2015-16, grade PK was dropped.",Waterman,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,K to 6,Y,Y,440024000046,,,,44007013800,,,,N,
5822,07112,2015-2016,,07,07,Public School,,Y,Chester W. Barrows School,Chester W. Barrows School,K,5,Emh,Elementary,9 Beachmont Avenue,,Cranston,02905,4012708160,http://cpsed.net/barrows/revised/site/Welcome.html/,Katrina Pillay,Principal,190,,"In 2015-16, grade PK was dropped.",Chester Barrows,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440024000043,,,,44007013500,,,,N,
5823,07113,2015-2016,,07,07,Public School,,Y,Cranston High School East,Cranston High School East,9,12,emH,High,899 Park Avenue,,Cranston,02910,4012708126,http://chse.cpsed.net/,Sean Kelly,Principal,1577,,,Cranston HS East,Cranston,Cranston,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440024000044,400035,,,44007014000,,,,N,
5824,07115,2015-2016,,07,07,Public School,,Y,Hugh B. Bain Middle School,Hugh B. Bain Middle School,7,8,eMh,Middle,135 Gansett Avenue,,Cranston,02910,4012708010,http://bainhome.weebly.com/,Jenny Remka,Principal,479,,,Bain MS,Cranston,Cranston,N,N,N,N,,N,Y,N,N,,7 to 8,Y,Y,440024000053,,,,44007014700,,,,N,
5825,07116,2015-2016,,07,07,Public School,,Y,William R. Dutemple School,William R. Dutemple School,K,6,Emh,Elementary,32 Garden Street,,Cranston,02910,4012708104,http://cpsed.net/dutemple/INDEX2.htm/,Beth Basile-Daggett,Principal,309,,"In 2015-16, grade PK was dropped.",Dutemple,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,K to 6,Y,Y,440024000068,,,,44007013701,,,,N,
5826,07117,2015-2016,,07,07,Public School,,Y,Edward S. Rhodes School,Edward S. Rhodes School,K,6,Emh,Elementary,160 Shaw Avenue,,Cranston,02905,4012708110,http://edward-s-rhodes.wikispaces.com/,Erica Stackhouse,Principal,248,,"In 2015-16, grade PK was dropped.",Rhodes,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,K to 6,Y,Y,440024000049,,,,44007013400,,,,N,
5827,07118,2015-2016,,07,07,Public School,,Y,Eden Park School,Eden Park School,K,6,Emh,Elementary,180 Oakland Avenue,,Cranston,02910,4012708029,http://edenparkelementary.weebly.com/,Courtney Sevigny,Principal,352,,"In 2015-16, grade PK was dropped.",Eden Park,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,K to 6,Y,Y,440024000047,,,,44007013702,,,,N,
5828,07119,2015-2016,,07,07,Public School,,Y,Gladstone Street School,Gladstone Street School,K,6,Emh,Elementary,50 Gladstone Street,,Cranston,02920,4012708080,http://gladstoneschool.weebly.com/,Susan Buonanno,Principal,565,,"In 2015-16, grade PK was dropped.",Gladstone St,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,K to 6,Y,Y,440024000051,,,,44007014100,,,,N,
5829,07120,2015-2016,,07,07,Public School,,Y,Stadium School,Stadium School,PK,6,Emh,Elementary,100 Crescent Avenue,,Cranston,02910,4012708188,http://stadiumelementary.weebly.com/index.html/,Cheri Sacco,Principal,349,,,Stadium,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000063,,,,44007014000,,,,N,
5830,07121,2015-2016,,07,07,Public School,,Y,Woodridge School,Woodridge School,K,6,Emh,Elementary,401 Budlong Road,,Cranston,02920,4012708007,http://woodridgeschool.weebly.com/,Charlotte Josephs,Principal,344,,"In 2015-16, grade PK was dropped.",Woodridge,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,K to 6,Y,Y,440024000069,,,,44007014300,,,,N,
5831,07122,2015-2016,,07,07,Public School,,Y,Garden City School,Garden City School,PK,6,Emh,Elementary,70 Plantations Drive,,Cranston,02920,4012708073,http://www.gardencityelementaryschool.com/index.html/,Tonianne Napolitano,Principal,350,,,Garden City,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000050,,,,44007013900,,,,N,
5832,07123,2015-2016,,07,07,Public School,,Y,Park View Middle School,Park View Middle School,7,8,eMh,Middle,25 Park View Boulevard,,Cranston,02910,4012708090,http://cpsed.net/pview/,Michael Crudale,Principal,531,,,Park View MS,Cranston,Cranston,N,N,N,N,,N,Y,N,N,,7 to 8,Y,Y,440024000060,,,,44007013600,,,,N,
5833,07124,2015-2016,,07,07,Public School,,Y,George J. Peters School,George J. Peters School,K,6,Emh,Elementary,15 Mayberry Street,,Cranston,02920,4012708199,http://www.cpsed.net/,Patricia Caporelli,Principal,347,,"In 2015-16, grade PK was dropped.",Peters,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,K to 6,Y,Y,440024000351,,,,44007014700,,,,N,
5834,07125,2015-2016,,07,07,Public School,,Y,Arlington School,Arlington School,K,6,Emh,Elementary,155 Princess Avenue,,Cranston,02920,4012708179,http://arlingtonallstars.wikispaces.com/,Michelle David,Principal,276,,"In 2015-16, grade PK was dropped.",Arlington,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,K to 6,Y,Y,440024000042,,,,44007014700,,,,N,
5835,07126,2015-2016,,07,07,Public School,,Y,Cranston High School West,Cranston High School West,9,12,emH,High,80 Metropolitan Avenue,,Cranston,02920,4012708049,http://cpsed.net/chsw/index.htm/,Thomas Barbieri,Principal,1476,,,Cranston HS West,Cranston,Cranston,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440024000045,400036,,,44007014502,,,,N,
5836,07127,2015-2016,,07,07,Public School,,Y,Stone Hill School,Stone Hill School,PK,6,Emh,Elementary,21 Village Avenue,,Cranston,02920,4012708022,http://cpsed.net/stonehil/,Danielle DeSimone,Principal,312,,,Stone Hill,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000064,,,,44007014800,,,,N,
5837,07128,2015-2016,,07,07,Public School,,Y,Glen Hills School,Glen Hills School,PK,6,Emh,Elementary,50 Glen Hills Drive,,Cranston,02920,4012708005,http://www.glen-hills.net/,John DeCristofaro,Principal,347,,,Glen Hills,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000052,,,,44007014400,,,,N,
5838,07129,2015-2016,,07,07,Public School,,Y,Western Hills Middle School,Western Hills Middle School,7,8,eMh,Middle,400 Phenix Avenue,,Cranston,02920,4012708030,http://cpsed.net/whills/,,,656,,,Western Hills,Cranston,Cranston,N,N,N,N,,N,Y,N,N,,7 to 8,Y,Y,440024000067,,,,44007014502,,,,N,
5839,07130,2015-2016,,07,07,Public School,,Y,Edgewood Highland School,Edgewood Highland School,K,6,Emh,Elementary,160 Pawtuxet Avenue,,Cranston,02905,4012708065,http://edgewoodhighlandschool.wikispaces.com/,Marlene Gamba,Principal,244,,"In 2015-16, grade PK was dropped.",Edgewood Highland,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,K to 6,Y,Y,440024000048,,,,44007013500,,,,N,
5840,07134,2015-2016,,07,07,Public School,,Y,Hope Highlands Elementary School,Hope Highlands Elementary School,PK,6,Emh,Elementary,300 Hope Road,,Cranston,02921,4012708148,http://www.hopehighlands.net/Pages/default.aspx/,Roxanne Gustafson,Principal,363,,,Hope Highlands,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000007,,,,44007014600,,,,N,
5841,07135,2015-2016,,07,07,District Charter School,,Y,NEL/CPS Construction Career Academy,NE Laborers'/Cranston Public Schools Construction Career Academy,9,12,emH,High,4 Sharpe Drive,,Cranston,02920,4012708692,http://nelcpscca.wix.com/nelcpscca/,Dennis Curran,Principal,170,,,NEL/CPS HS,Cranston,Cranston,N,N,N,Y,,N,N,Y,N,,9 to 12,Y,Y,440024000229,400034,,,44007014200,,,,N,
5842,07136,2015-2016,,07,07,Public School,,Y,Orchard Farms Elementary School,Orchard Farms Elementary School,PK,6,Emh,Elementary,1555 Scituate Avenue,,Cranston,02921,4012708801,http://sites.google.com/site/orchardfarmselementaryschool/,Kim Magnelli,Principal,304,,,Orchard Farms,Cranston,Cranston,N,N,N,N,,Y,N,N,N,,PK to 6,Y,Y,440024000277,,,,44007014600,,,,N,
5843,07702,2015-2016,,,67,State Operated School,,Y,DCYF Alternative Education Program,DCYF Alternative Education Program,6,12,eMH,,57 Power Road,,Cranston,02920,4014627248,,William F. Cauley,Principal,65,,"In 2015-16, grade 6 was added.",DCYF Alt. Ed.,DCYF,DCYF,N,N,N,N,,N,Y,Y,N,,6 to 12,N,N,440000900413,,,,,,,,N,
5844,08107,2015-2016,,08,08,Public School,,Y,B.F. Norton Elementary School,B.F. Norton Elementary School,K,5,Emh,Elementary,364 Broad Street,,Cumberland,02864,4017227610,http://www.cumberlandschools.org/content/bf-norton-school/,Dina Cerra,Principal,432,,,B.F. Norton,Cumberland,Cumberland,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440027000039,,,,44007011200,,,,N,
5845,08108,2015-2016,,08,08,Public School,,Y,Garvin Memorial School,Garvin Memorial School,K,5,Emh,Elementary,1364 Diamond Hill Road,,Cumberland,02864,4013332557,http://www.cumberlandschools.org/content/garvin-memorial-school/,Judith Bassignani,Principal,396,,,Garvin Mem.,Cumberland,Cumberland,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440027000081,,,,44007011301,,,,N,
5846,08109,2015-2016,,08,08,Public School,,Y,Community School,Community School,K,5,Emh,Elementary,15 Arnold Mills Road,,Cumberland,02864,4013335724,http://www.cumberlandschools.org/content/community-school/,Cindy Giroux,Principal,572,,,Community,Cumberland,Cumberland,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440027000075,,,,44007011401,,,,N,
5847,08110,2015-2016,,08,08,Public School,,Y,John J. McLaughlin Cumberland Hill School,John J. McLaughlin Cumberland Hill School,K,5,Emh,Elementary,205 Manville Hill Road,,Cumberland,02864,4016581660,http://www.cumberlandschools.org/content/john-j-mclaughlin-cumberland-hill-school/,Debra Malcolm,Principal,339,,,JJM Cumb. Hill,Cumberland,Cumberland,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440027000077,,,,44007011403,,,,N,
5848,08112,2015-2016,,08,08,Public School,,Y,Ashton School,Ashton School,K,5,Emh,Elementary,130 Scott Road,,Cumberland,02864,4013330554,http://www.cumberlandschools.org/content/Ashton/,Nidia Karbonik,Principal,248,,,Ashton,Cumberland,Cumberland,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440027000070,,,,44007011401,,,,N,
5849,08114,2015-2016,,08,08,Public School,,Y,Cumberland High School,Cumberland High School,9,12,emH,High,2600 Mendon Road,,Cumberland,02864,4016582600,http://www.cumberlandschools.org/content/cumberland-high-school/,Alan Tenreiro,Principal,1298,,,Cumberland HS,Cumberland,Cumberland,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440027000076,400037,,,44007011403,,,,N,
5850,08115,2015-2016,,08,08,Public School,,Y,Joseph L. McCourt Middle School,Joseph L. McCourt Middle School,6,8,eMh,Middle,45 Highland Avenue,,Cumberland,02864,4017252092,http://www.cumberlandschools.org/content/joseph-l-mccourt-middle-school/,Jason Masterson,Principal,451,,,McCourt MS,Cumberland,Cumberland,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440027000078,,,,44007011200,,,,N,
5851,08116,2015-2016,,08,08,Public School,,Y,North Cumberland Middle School,North Cumberland Middle School,6,8,eMh,Middle,400 Nate Whipple Highway,,Cumberland,02864,4013336306,http://www.cumberlandschools.org/content/north-cumberland-middle-school/,Bethany  Coughlin,Principal,685,,,N. Cumberland MS,Cumberland,Cumberland,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440027000082,,,,44007011402,,,,N,
5852,08118,2015-2016,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,
5853,08121,2015-2016,,08,08,Public School,,Y,Cumberland Preschool Center,Cumberland Preschool Center,PK,PK,Emh,Elementary,130 Scott Road,,Cumberland,02864,4016581600,http://www.cumberlandschools.org/schools/PreSchool/index.htm/,Kathleen Gibney,Principal,90,,,Cumberland Preschool (PreK),Cumberland,Cumberland,N,N,N,N,,Y,N,N,Y,,PK to PK,Y,Y,440027000188,,,,44007011200,4.4007E+14,,,N,
5854,08601,2015-2016,,08,47,Independent Charter School,,Y,Blackstone Valley Prep Elementary School,Blackstone Valley Prep Elementary School,K,4,Emh,Elementary,291 Broad Street,,Cumberland,02864,4013353133,http://www.blackstonevalleyprep.org/our-schools/elementary-school-1/,Kyle Quadros,Principal,413,,,Blackstone Valley Prep Elem 1,"Blackstone Valley Prep, A RI Mayoral Academy",Blackstone Valley Prep RIMA,N,N,N,Y,Compare with caution.,Y,N,N,N,,K to 4,Y,Y,440001500473,,,,44007011200,,,,N,
5855,08602,2015-2016,,08,47,Independent Charter School,,Y,Blackstone Valley Prep Middle School,Blackstone Valley Prep Middle School,5,8,eMh,Middle,909 Lonsdale,,Central Falls,02863,4014758829,http://www.blackstonevalleyprep.org/our-schools/middle-school/,Joy Souza,Principal,331,,,Blackstone Valley Prep MS,"Blackstone Valley Prep, A RI Mayoral Academy",Blackstone Valley Prep RIMA,N,N,N,Y,Compare with caution.,N,Y,N,N,,5 to 8,Y,Y,440001500475,,,,44007011200,,,,N,
5856,08603,2015-2016,,08,47,Independent Charter School,,Y,Blackstone Valley Prep Elementary 2 School,Blackstone Valley Prep Elementary 2 School,K,4,Emh,Elementary,52 Broad St.,,Cumberland,02864,4013056860,http://blackstonevalleyprep.org/elementary-school-2,Colleen Colarusso,Principal,410,,"In 2015-16, grade 4 was added.",Blackstone Valley Prep Elem 2,"Blackstone Valley Prep, A RI Mayoral Academy",Blackstone Valley Prep RIMA,N,N,N,Y,,Y,N,N,N,,K to 4,Y,Y,440001500480,,,,44007011200,,,,N,
5857,08604,2015-2016,,08,47,Independent Charter School,,Y,Blackstone Valley Prep High School,Blackstone Valley Prep High School,9,10,emH,High,291 Broad St.,,Cumberland,02864,4014050320,http://blackstonevalleyprep.org/high-school,Jonathon Santos Silva,Principal,184,,"In 2015-16, grade 10 was added.",,"Blackstone Valley Prep, A RI Mayoral Academy",,N,N,N,Y,,N,N,Y,N,,9 to 10,Y,Y,440001500488,,,,,,,,,
5858,08605,2015-2016,,,,,,,Blackstone Valley Prep Elementary 3 School,,K,K,,,3 Fairlawn Way,,Lincoln,02865,4014752680,http://blackstonevalleyprep.org/elementary-school-3,Josh Falk,Principal,48,,"In 2015-2016, this school was opened.",,"Blackstone Valley Prep, A RI Mayoral Academy",,,,,,,,,,,,K to K,,,,,,,,,,,,
