code,type,status,name,dist,config,grades,grade_min,grade_max,nces,street1,street2,city,zip,phone,url,p_name,p_title
49,Regional Collaborative,Active,Urban Collaborative,,,07 - 09,7,9,4400005,75 Carpenter Street,,Providence,02903,4012720881,www.ucap.org,Robert DeBlois,Superintendent
50,SOP,Active,R.I. Sch for the Deaf,,,PF - 12,PK,12,4400001,One Corliss Park,,Providence,02908,4012223525,www.rideaf.net,Nancy Maguire Heath,Director/Superintendent
51,CHTR,Active,Paul Cuffee Charter Sch,,,KF - 12,K,12,4400032,459 Promenade Street,,Providence,02908,4014532626,www.paulcuffeeschool.org,Eric Charlesworth; Christopher Haskins; Carrie McWilliams; Celeste Terry-Lo,Principal; Superintendent; Principal; Principal (9-12)
52,CHTR,Active,Kingston Hill Academy,,,KF - 05,K,5,4400033,850 Stony Fort Road,,Saunderstown,02874,4017838282,www.kingstonhill.org,Linda Paolillo,Superintendent
53,CHTR,Active,International Charter,,,KF - 05,K,5,4400034,334 Pleasant Street,,Pawtucket,02860,4017210824,www.internationalcharterschool.org,Julie Nora Ph.D.,Superintendent
54,CHTR,Active,Blackstone Academy,,,09 - 12,9,12,4400036,334 Pleasant Street,,Pawtucket,02860,4017261750,www.blackstoneacademy.org,Carolyn Sheehan,Superintendent
55,CHTR,Active,The Compass School,,,KF - 08,K,8,4400035,537 Old North Road,,Kingston,02881,4017888322,www.compassschool.org,,
56,REG,Active,Newport County Regional,,,-,,,0,26 Oliphant Lane,,Middletown,02842,4018473916,,,
58,CHTR,Active,Beacon Charter School,,,09 - 12,9,12,4400008,320 Main Street,,Woonsocket,02895,4016716261,www.beaconart.org,Michael Skeldon,Superintendent
59,CHTR,Active,Learning Community,,,KF - 08,K,8,4400006,21 Lincoln Avenue,,Central Falls,02863,4017229998,www.thelearningcommunity.com,Sarah Friedman; Meg O'Leary,Superintendents
60,SOP,Active,MET Career and Tech,,,09 - 12,9,12,4400003,325 Public Street,,Providence,02905,4017522600,www.metcenter.org,Nancy Diaz Bain,Superintendent
61,CHTR,Active,Trinity Academy for the Performing Arts,,,07 - 12,7,12,4400018,158 Messer Street,,Providence,02909,4014327881,www.trinityacademyfortheperformingarts.org,Nanci DeRobbio,Superintendent
62,CHTR,Active,The Greene School,,,09 - 12,9,12,4400017,94 John Potter Road,Unit 3,West Greenwich,02817,4013978600,www.thegreeneschool.org,Josh Laplante,Superintendent
63,CHTR,Active,Rhode Island Nurses Institute Middle College,,,10 - 12,10,12,4400019,150 washington Street,4th Floor,Providence,02903,4016804900,www.tomorrowsnurses.org,"Colleen Hitchings; Pamela L McCue MS, RN",Principal; Superintendent
64,CHTR,Active,Village Green Virtual,,,09 - 11,9,11,4400025,135 Weybosset Street,,Providence,02903,4018312878,www.vgonline.org,Robert Pilkington Ed.D.,Superintendent
66,,Active,Dept of Corrections,,,-,,,0,"18 Wilma Schesler Lane, Dix Building",,Cranston,02920,4014622507,,Ralph Orleck,Principal/Special Education Director
67,SOP,Active,DCYF,,,06 - 12,6,12,4400009,101 Friendship Street,4th Floor,Providence,02903,4015283576,www.dcyf.ri.gov,Mike Burk,Superintendent
68,CHTR,Active,The Hope Academy,,,KG - 08,K,8,4400027,1000 Eddy Street,,Providence,02905,4015339192,www.hopeacademyri.org,,
75,Regional Collaborative,Active,Northern RI Collaborative,,,PK - 12,PK,12,4400020,640 George Washington Hwy,Suite 200,Lincoln,02865,4014952000,www.nric-ri.org,Joseph M. Nasif Jr.,Interim Director
76,Regional Collaborative,Active,West Bay Collaborative,,,KG - 12,K,12,4400023,144 Bignall Street,,Warwick,02888,4019418353,,Karen G. Ostroff,Principal
77,Regional Collaborative,Active,East Bay Educational Collaborative,,,KG - 12,K,12,4400026,317 Market Street,,Warren,02885,4012454998,www.ebecri.org,Donna M. Ottaviano Ed.D.,Ex. Director
79,CHTR,Active,RISE Prep Mayoral Academy,,,KF - 08,K,8,0,1 Social Street,,Woonsocket,02895,4017655127,www.riseprepri.org,Rosalind Murphy,Director
96,LEA,Active,Bristol Warren,,,PK - 12,PK,12,4400065,151 State Street,,Bristol,02809,4012534000,www.bw.k12.ri.us,Mario Andrade,Superintendent
97,LEA,Active,Exeter-West Greenwich,,,PK - 12,PK,12,4400360,940 Nooseneck Hill Road,,West Greenwich,02817,4013975125,ewg.k12.ri.us,James H. Erinakes Ed.D.,Superintendent
98,LEA,Active,Chariho,,,PK - 12,PK,12,4400150,455A Switch Road,,Wood River Junction,02894,4013647575,www.chariho.k12.ri.us,Barry J. Ricci,Superintendent
99,LEA,Active,Foster-Glocester,,,06 - 12,6,12,4400420,91 Anan Wade Road,,North Scituate,02857,4017107500,www.fg.k12.ri.us,Michael S. Barnes Ph.D.,Superintendent
