code,grades,level,address,c_s_z,phone,fax,website
,,,35 Woodbine Street,"Cranston, RI  02910",(401) 785-4696 ,(401) 785-4696 ,www.geocities.com/riafcs1/RIAFCS.html
,,,600 Mt. Pleasant AvenueRIC/Bldg. #6,"Providence, RI  02908-1991",(401) 272-9811 X10,(401) 272-9834 ,www.ri-asc.org
,,,600 Mt. Pleasant AvenueRIC/Bldg. #6,"Providence, RI  02908-1991",(401) 272-9811 X19,(401) 272-9834 ,
,,,600 Mt. Pleasant AvenueRIC/Bldg. #6-East Campus,"Providence, RI  02908",(401) 421-0650 ,(401) 272-0807 ,
,,,"385 Westminster Street, Suite 2","Providence, RI  02903",(401) 273-2250 ,(401) 454-4872 ,www.rihumanities.org
,,,101 Friendship Street,"Providence, RI  02903",(401) 528-3793 ,(401) 528-3760 ,
,,,23 Ward AvenueWesterly High School,"Westerly, RI  02891",(401) 596-2109 ,(401) 596-5098 ,www.riema.org
,,,"One Hilton Street, Room 2258","Providence, RI  02905",(401) 455-6073 ,(401) 455-6090 ,
,,,67B Pottersville Road,"Little Compton, RI  02837",(401) 635-4611 ,,www.fpsp.org
,,,600 Mt. Pleasant AvenueRIC/Bldg. #6,"Providence, RI  02908-1991",(401) 272-9844 ,(401) 272-9838 ,www.riil.org
,,,"1 State Street, Suite 502","Providence, RI  02908",(401) 272-3434 ,(401) 421-0824 ,www.rileague.org
,,,1210 Pontiac Avenue,"Cranston, RI  02920",(401) 270-0101 ,,www.ripin.org
,,,1643 Warwick Avenue PMB 103,"Warwick, RI  02889",(401) 736-2900 ,(401) 737-0959 ,www.ripsych.org
,,,600 Mt. Pleasant AvenueRIC/Bldg. #6,"Providence, RI  02908-1991",(401) 272-9811 X20,(401) 272-9834 ,
,,,PO Box 9241,"Providence, RI  02940",(401) 455-7472 ,,www.risha.info
,,,"1511 Pontiac Avenue, Bldg. 72/3WIA Youth Programs","Cranston, RI  02920",(401) 462-8856 ,(401) 462-8787 ,www.dlt.gov/WIO
,,,600 Mt. Pleasant AvenueRhode Island CollegeOld Alumni House,"Providence, RI  02908",(401) 456-4600 ,(401) 456-8117 ,www.ritap.org
,,,600 Mt. Pleasant AvenueRhode Island College,"Providence, RI  02908",(401) 456-8668 ,(401) 456-2802 ,www.ric.edu/riwp
,,,"15 Fleming Roadc/o RI Department of Corrections, Education Unit","Cranston, RI  02920",(401) 462-1415 ,(401) 462-2509 ,
,,,"110 Jefferson Boulevard, Suite I","Warwick, RI  02888-3854",(800) 916-8324 ,(401) 463-3433 ,
,,,42 Lexington Avenue,"Providence, RI  02904",(401) 831-7323 ,(401) 831-7327 ,www.highlanderinstitute.org
,,,One Union Station,"Providence, RI  02903-1746",(401) 274-4564 ,(401) 331-8085 ,www.rifoundation.org
,,,105 Gano Street,"Providence, RI  02906",(401) 421-6547 ,(401) 455-0160 ,www.vcri.org
,,,"500 Prospect Street, Wing B","Pawtucket, RI  02860-6260",(401) 725-0247 ,(401) 725-0397 ,www.vsartsri.org
00,,,255 Westminster StreetShepard Building,"Providence, RI  02903",(401) 222-4600 ,(401) 222-4044 ,www.ride.ri.gov
01103,PK - 03,PK-3,60 Middle Highway,"Barrington, RI  02806",(401) 247-3170 ,(401) 245-5003 ,www.primrosehillschool.org/default.aspx
01105,04 - 05,Elementary,297 New Meadow Road,"Barrington, RI  02806",(401) 247-3166 ,(401) 245-5003 ,www.hampdenmeadows.org/default.aspx
01108,06 - 08,Middle,261 Middle Highway,"Barrington, RI  02806",(401) 247-3160 ,(401) 247-3164 ,www.barringtonmiddle.org/default.aspx
01190,PK - 12,Other,283 County RoadPO Box 95,"Barrington, RI  02806",(401) 245-5000 ,(401) 245-5003 ,barringtonschools.org
01301,06 - 12,Elementary/Secondary,63 Federal Road,"Barrington, RI  02806-2407",(401) 246-1230 ,(401) 246-0510 ,www.standrews-ri.org
01304,PK - PK,PK Only,165 New Meadow Road,"Barrington, RI  02806",(401) 245-6536 ,,
01323,PK - PK,PK Only,64 Bay Spring Avenue,"Barrington, RI  02806",(401) 246-0100 ,,
01329,PK - PK,PK Only,P.O. Box 448College Lane,"Barrington, RI  02806",(401) 246-0037 ,,
01801,,,10 Waldron Avenue,"Barrington, RI  02806",(401) 246-1990 ,(401) 246-2120 ,
01901, - ,Other,,,,,
01990,PK - 12,Other,,,,,
01998,PK - 12,Other,,,,,
03,PK - 12,,2300 Bronco Highway ,"Harrisville, RI  02830",(401) 568-1301 ,(401) 568-4111 ,www.bsd-ri.net
03105,02 - 05,Elementary,915 Steere Farm Road,"Pascoag, RI  02859",(401) 568-1350 ,(401) 568-1353 ,www.bsd-ri.net/schools
03108,PK - 01,Elementary,135 Harrisville Main Street,"Harrisville, RI  02830",(401) 568-1340 ,(401) 568-1318 ,www.bsd-ri.net/schools
03190,PK - 12,Other,2300 Bronco Highway,"Harrisville, RI  02830",(401) 568-1301 ,(401) 568-4111 ,www.bsd-ri.net
03311,PK - 08,PK-12,113 Church Street             ,"Pascoag, RI  02859",(401) 568-5263 ,, 
038A0,,,PO Box 398,"Pascoag, RI  02859",(401) 568-1770 ,,
038A2,,,140 Laurel Hill AvenuePO Box 414,"Pascoag, RI  02859",(401) 568-7156 ,(401) 568-8616 ,
038A4,,,704 Buck Hill Road,"Pascoag, RI  02859",(401) 567-4470 ,,
038A6,,,185 Main Street,"Pascoag, RI  02859",,,
03900,PK - 12,Other,,,,,
03902,PK - KF,Other,,,,,
03904,12 - 12,Other,425 East Avenue,"Harrisville, RI  02930",(401) 568-1301 ,,
03997,PK - 12,Other,,,,,
03999,PK - 12,Other,,,,,
04101,01 - 04,Elementary,949 Dexter Street,"Central Falls, RI  02863",(401) 727-7731 ,(401) 725-5142 ,risk.cfschools.net
04106,01 - 04,Elementary,150 Fuller Avenue,"Central Falls, RI  02863",(401) 727-7740 ,(401) 725-0941 ,veterans.cfschools.net
04115,05 - 08,Elementary,112 Washington Street,"Central Falls, RI  02863",(401) 727-7726 ,(401) 724-0870 ,calcutt.cfschools.net
04190,PK - 12,Other,21 Hedley Avenue,"Central Falls, RI  02863",(401) 727-7700 ,(401) 727-7722 ,cfschools.net
04304,PK - KG,PK-3/Elementary,151 Hunt Street,"Central Falls, RI  02863",(401) 727-4474 ,,
04601,KF - 08,Elementary,21 Lincoln Avenue,"Central Falls, RI  02863",(401) 722-9998 ,(401) 722-0990 ,www.thelearningcommunity.com
04603,09 - 12,Secondary,43 Hawes Street,"Central Falls, RI  02863",(401) 751-0405 ,,
04802,,,151 Hunt Street,"Central Falls, RI  02864",(401) 727-4474 ,,
04804,,,508 Broad Street,"Central Falls, RI  02863",(401) 727-6177 ,(401) 727-6184 ,
04810,,,580 Broad Street,"Central Falls, RI  02863",,,
048A0,,,151 Hunt Street,"Central Falls, RI  02863",,,
048A2,,,Washington Street,"Central Falls, RI  02863",,,
048A4,,,,,,,
048A6,,,621 Dexter Street,"Central Falls, RI  02863",(401) 729-0008 ,,
048A8,,,361 Cowden Street,"Cental Falls, RI  02863",(401) 727-7425 ,(401) 727-7428 ,
048B0,,,10 Higginson Avenue,"Central Falls, RI  02863",(401) 727-7455 ,(401) 727-7422 ,www.centralfallsri.us
04900,PK - 12,Other,,,,,
04913, - ,Other,626 Broad Street,"Central Falls, RI  02863",(401) 728-5920 ,,www.progresolatino.org
04997,PK - 12,Other,,,,,
04999,PK - 12,Other,,,,,
06023, - ,Other,,,,,
06109,KG - 05,Elementary,4588 Flat River Road,"Coventry, RI  02816",(401) 397-3355 ,(401) 397-4592 ,schools.coventryschools.net/western/
06116,PK - 05,Elementary,170 East Shore Drive,"Coventry, RI  02816",(401) 822-9460 ,(401) 822-9453 ,schools.coventryschools.net/tiogue/
06119,09 - 12,Secondary,40 Reservoir Road,"Coventry, RI  02816",(401) 822-9499 ,(401) 822-9492 ,schools.coventryschools.net/highschool/
06123,09 - 12,Secondary,40 Reservoir Road,"Coventry, RI  02816",(401) 822-9499 ,(401) 822-9492 ,www.coventryschools.net/hs
06204,PK - 08,PK-3/Elementary,343 South Main Street,"Coventry, RI  02816",(401) 821-3756 ,(401) 828-8513 ,www.ri.net/RInet/Fr_Doyle
06303,01 - 12,Elementary/Secondary,2 St. Vincent DePaul,"Coventry, RI  02816",(401) 615-2600 ,(401) 615-2408 ,www.grodencenter.org
06324,PK - PK,PK Only,179 Hopkins Hollow Road     ,"Greene, RI  02827",(401) 397-2520 ,, 
06802,,,344 Hopkins Hill Road,"Coventry, RI  02816",(401) 821-1851 ,,
06804,,,613 Tiogue Avenue,"Coventry, RI  02816",,,
068A1,,,2093 Harkney Hill Road,"Coventry, RI  02816",(401) 397-7779 ,,
068A4,,,613 Tiogue Avenue,"Coventry, RI  02816",,,
068A6,,,Lacolle Land,"Coventry, RI  02816",(401) 828-4367 ,,
06900,PK - 12,Other,,,,,
06902, - ,Other,,,,,
06904, - ,Other,,,,,
06907, - ,Other,,,,,
06990,PK - 12,Other,,,,,
06998,PK - 12,Other,,,,,
07,PK - 12,,845 Park Avenue ,"Cranston, RI  02910",(401) 270-8170 ,(401) 270-8703 ,www.cpsed.net
07103,KG - 06,PK-3/Elementary,36 Stoneham Street,"Cranston, RI  02920",(401) 270-8004 ,(401) 270-8571 ,oaklawnschool.wix.com/index
07112,KF - 05,Elementary,9 Beachmont Avenue,"Cranston, RI  02905",(401) 270-8160 ,(401) 270-8505 ,cpsed.net/barrows/revised/site/Welcome.html
07115,07 - 08,Middle,135 Gansett Avenue,"Cranston, RI  02910",(401) 270-8010 ,(401) 270-8567 ,bainhome.weebly.com/
07117,KF - 06,Elementary,160 Shaw Avenue,"Cranston, RI  02905",(401) 270-8110 ,(401) 270-8579 ,edward-s-rhodes.wikispaces.com/
07119,KG - 06,Elementary,50 Gladstone Street,"Cranston, RI  02920",(401) 270-8080 ,(401) 270-8540 ,gladstoneschool.weebly.com/
07121,KG - 06,PK-3/Elementary,401 Budlong Road,"Cranston, RI  02920",(401) 270-8007 ,(401) 270-8708 ,woodridgeschool.weebly.com/
07123,07 - 08,Middle,25 Park View Boulevard,"Cranston, RI  02910",(401) 270-8090 ,(401) 270-8527 ,cpsed.net/pview/
07125,KG - 06,Elementary,155 Princess Avenue,"Cranston, RI  02920",(401) 270-8179 ,(401) 270-8139 ,arlingtonallstars.wikispaces.com/
07127,PK - 06,Elementary,21 Village Avenue,"Cranston, RI  02920",(401) 270-8022 ,(401) 270-8636 ,cpsed.net/stonehil/
07129,07 - 08,Middle,400 Phenix Avenue,"Cranston, RI  02920",(401) 270-8030 ,(401) 270-8635 ,cpsed.net/whills/
07132,10 - 12,Secondary,100 Metropolitan Avenue,"Cranston, RI  02920",(401) 270-8070 ,(401) 270-8611 ,www.cpsed.net/cactc
07135,09 - 12,Secondary,4 Sharpe Drive,"Cranston, RI  02920",(401) 270-8692 ,(401) 270-8697 ,http://nelcpscca.wix.com/nelcpscca
07190,PK - 12,Other,845 Park Avenue,"Cranston, RI  02910",(401) 270-8170 ,(401) 270-8703 ,www.cpsed.net
07203,PK - 08,PK-3/Elementary,85 Chester Avenue,"Cranston, RI  02920",(401) 944-4107 ,(401) 944-2395 ,www.stmaryschoolri.org
07301,PK - 12,Elementary/Secondary,665 Dyer Avenue,"Cranston, RI  02920",(401) 942-2388 ,(401) 944-7480 ,
07303,PK - KG,PK Only,565 Pontiac Avenue            c /o Philip's Baptist Church,"Cranston, RI  02910",(401) 461-2173 ,, 
07308,PK - KG,PK-3/Elementary,116 Puritan Avenue            ,"Cranston, RI  02920",(401) 464-9665 ,, 
07311,PK - PK,PK Only,140 Natick Avenue             ,"Cranston, RI  02920",(401) 946-6505 ,, 
07315,KG - KG,PK-3,546 Budlong Road,"Cranston, RI  02920",(401) 228-3317 ,,
07331,PK - PK,PK Only,139 Ocean Avenuec/o Trinity Church,"Cranston, RI  02905",(401) 941-1990 ,,
07342,KG - KG,Elementary,156 Shaw Avenue               ,"Cranston, RI  02905",(401) 461-1660 ,, 
07350,PK - KG,PK-3/Elementary,220 Comstock Parkway,"Cranston, RI  02921",(401) 946-6700 ,,
07353,KF - KF,PK-3,695 Park Avenue,"Cranston, RI  02910",(401) 461-1880 ,,
07407, - ,Postsecondary,Marshalls's Plaza1400 Oaklawn Avenue,"Cranston, RI  02920",(401) 463-3633 ,,www.toniguyacademy.com
07704,10 - 12,Ungraded,"18 Wilma Schesler Lane, Dix Building","Cranston, RI  02920",(401) 462-2507 ,(401) 462-2509 ,
07803,,,117 Woodbine Street,"Cranston, RI  02910",(401) 461-1880 ,,
07805,,,80 East Street,"Cranston, RI  02920",(401) 463-6001 ,(401) 463-8572 ,
07807,,,1090 Cranston Street,"Cranston, RI  02920",(401) 780-6169 ,,
07809,,,1400 Elmwood Avenue,"Cranston, RI  02910",(401) 781-8337 ,,
07811,,,,,,,
07813,,,1326 Plainfield street,"Cranston, RI  02920",,,
07873,,,116 Puritan Avenue,"Cranston, RI  02920",(401) 464-9665 ,,
078A1,,,41 Heath Avenue,"Cranston, RI  02910",(401) 270-8686 ,,
078A3,,,50 Gladstone Street,"Cranston, RI  02920",,,
078A5,,,1224 Park Avenue,"Cranston, RI  02910",(401) 943-0444 ,,
078A7,,,848 Atwood Avenue,"Cranston, RI  02920",(401) 943-5160 ,,
078A9,,,160 Pawtuxet Avenue,"Cranston, RI  02905",(401) 467-9664 ,,
078B1,,,117 Woodbine Street,"Cranston, RI  02910",(401) 461-1880 ,,
078B3,,,12 Lincoln Avenue,"Cranston, RI  02920",(401) 944-1440 ,,
078B5,,,12 Lincoln Avenue,"Cranston, RI  ",(401) 781-8075 ,,
078B7,,,690 Dyer Avenue,"Cranston, RI  02920",,,
078B9,,,546 Budlong Road,"Cranston, RI  02920",,,
078C1,,,155 Princess Avenue,"Cranston, RI  02910",(401) 270-8179 ,,
078C3,,,656 Park Avenue,"Cranston, RI  02910",(401) 562-2276 ,(401) 780-0624 ,http://www.comcap.org
07900,PK - 12,Other,,,,,
07902, - ,Other,1308 Phenix Avenue,"Cranston, RI  02921",,,
07904, - ,Other,220 Comstock Parkway,"Cranston, RI  02921",,,
07910,PK - KF,Other,848 Atwood Avenue,"Cranston, RI  02920",,,
07912,KG - KF,Other,160 Pawtucext Avenue,"Cranston, RI  02905",,,
07974, - ,Other,4 Sharpe Drive,"Cranston, RI  02920",(401) 270-8176 ,,
07976, - ,Other,"18 Wilma Schesler Lane Dix Bld, Education Unit","Cranston, RI  02920",(401) 462-1415 ,,
07997,PK - 12,Other,,,,,
07999,PK - 12,Other,,,,,
08107,KG - 05,Elementary,364 Broad Street,"Cumberland, RI  02864",(401) 722-7610 ,(401) 723-1084 ,www.cumberlandschools.org/content/bf-norton-school
08109,KG - 05,Elementary,15 Arnold Mills Road,"Cumberland, RI  02864",(401) 333-5724 ,(401) 333-1412 ,www.cumberlandschools.org/content/community-school
08112,KG - 05,Elementary,130 Scott Road,"Cumberland, RI  02864",(401) 333-0554 ,(401) 334-1811 ,www.cumberlandschools.org/content/Ashton
08115,06 - 08,Middle,45 Highland Avenue,"Cumberland, RI  02864",(401) 725-2092 ,(401) 723-1188 ,www.cumberlandschools.org/content/joseph-l-mccourt-middle-school
08120,PK - 12,Elementary/Secondary,"640 George Washington HwyBuilding B, Suite 200","Lincoln, RI  02865",(401) 495-2000 ,(401) 333-3572 ,www.nric-ri.org
08190,PK - 12,Other,2602 Mendon Road,"Cumberland, RI  02864",(401) 658-1600 ,(401) 658-4620 ,www.cumberlandschools.org
08301,PK - KG,PK-3/Elementary,35 Industrial Road,"Cumberland, RI  02864",(401) 333-4222 ,,
08322,PK - KG,PK-3/Elementary,160 Bear Hill Road,"Cumberland, RI  02864",(401) 333-6402 ,,
08331,PK - PK,PK Only,2550 Diamond Hill Road        ,"Cumberland, RI  02864",(401) 333-0999 ,, 
08601,KF - 04,Elementary,291 Broad Street,"Cumberland, RI  02864",(401) 335-3133 ,(401) 305-3185 ,www.blackstonevalleyprep.org/our-schools/elementary-school-1
08603,KF - 04,Elementary,52 Broad St.,"Cumberland, RI  02864",(401) 305-6860 ,(401) 305-6866 ,www.blackstonevalleyprep.org
08605,KF - KF,Elementary,3 Fairlawn Way,"Lincoln, RI  02865",(401) 475-2680 ,(401) 475-2415 ,www.blackstonevalleyprep.org
08802,,,Scott Road,"Cumberland, RI  02864",(401) 333-3215 ,,
08804,,,1464 Diamond Hill Road,"Cumberland, RI  02864",,,
08806,,,Broad Street,"Cumberland, RI  02864",(401) 727-0242 ,,
08808,,,1509 Mendon Road,"Cumberland, RI  02864",(401) 333-6558 ,,
08810,,,1 James McKee Way,"Cumberland, RI  02864",(401) 333-4850 ,(401) 333-4852 ,www.bgccl.org/default.aspx
088A1,,,221 Cobble Hill Road,"Cumberland, RI  02864",(401) 722-3363 ,,
088A3,,,1509 Mendon Road,"Cumberland, RI  02864",(401) 333-6558 ,,
088A5,,,200 Angell Road,"Cumberland, RI  02864",(401) 723-2277 ,,
088A7,,,1 James McKee Way,"Cumberland, RI  02864",,,
08900,PK - 12,Other,,,,,
08990,PK - 12,Other,,,,,
08998,PK - 12,Other,,,,,
09,PK - 12,,111 Peirce Street ,"East Greenwich, RI  02818",(401) 398-1201 ,(401) 886-3203 ,www.egsd.net
09103,06 - 08,Middle,100 Cedar Avenue,"East Greenwich, RI  02818",(401) 398-1213 ,(401) 886-3283 ,www.egsd.net/MiddleSchool.cfm?subpage=620383
09106,09 - 12,Secondary,300 Avenger Drive,"East Greenwich, RI  02818",(401) 398-1574 ,(401) 885-1336 ,www.egsd.net/HighSchool.cfm?subpage=620381
09108,03 - 05,Elementary,200 Middle Road,"East Greenwich, RI  02818",(401) 398-1351 ,(401) 886-3267 ,www.egsd.net/Hanaford.cfm?subpage=620385
09201,PK - 08,PK-3/Elementary,55 Fourth Avenue,"East Greenwich, RI  02818",(401) 884-1618 ,(401) 885-3138 ,www.olmschool.org
09303,PK - KG,PK-3/Elementary,146 Duke Street,"East Greenwich, RI  02818",(401) 886-5347 ,,
09305,KG - 01,PK Only,3116 South County Trail,"East Greenwich, RI  02818",(401) 828-4567 ,,www.storksnestchild.com/east-greenwich-location
09323,PK - PK,PK Only,1558 South County Trail     ,"East Greenwich, RI  02818",(401) 885-2132 ,, 
09327,PK - KG,PK-3/Elementary,88 Crompton Road              ,"East Greenwich, RI  02818",(401) 823-7837 ,, 
09332,PK - PK,PK Only,3355 South County Trail,"East Greenwich, RI  02818",(401) 886-7827 ,,
09334,PK - PF,PK-3/Elementary,836 Middle Road,"East Greenwich, RI  02818",,,
09801,,,2841 So. County Trail         ,"East Greenwich, RI  02818",,, 
09900,PK - 12,Other,,,,,
09902,PK - PK,PK Only,,,,,
09997,PK - 12,Other,,,,,
09999,PK - 12,Other,,,,,
10030, - ,Other,,,,,
10111,KF - 05,Elementary,60 Bart Drive,"Riverside, RI  02915",(401) 433-6209 ,(401) 433-6247 ,www.epschoolsri.com/oldham/
10113,KF - 05,Elementary,2680 Pawtucket Avenue,"East Providence, RI  02914",(401) 435-7824 ,(401) 435-7839 ,epschoolsri.com/kentheights
10116,KF - 05,Elementary,75 Fort Street,"East Providence, RI  02914",(401) 435-7831 ,(401) 435-7835 ,epschoolsri.com/hennessey
10122,06 - 08,Middle,179 Forbes Street,"Riverside, RI  02915",(401) 433-6230 ,(401) 433-6261 ,www.epschoolsri.com/riverside
10124,KF - 05,Elementary,25 Orlo Avenue,"East Providence, RI  02914",(401) 433-7836 ,(401) 435-7825 ,www.epschoolsri.com/orlo/
10130,09 - 12,Secondary,1998 Pawtucket Avenue,"East Providence, RI  02914",(401) 435-7815 ,(401) 435-7854 ,eastprovidencehighschool.com/web/
10202,KG - 08,Elementary,56 Purchase Street,"East Providence, RI  02914",(401) 434-1080 ,(401) 434-4638 ,www.sacredheartepri.com
10208,PK - 12,PK-12,3070 Pawtucket Avenue,"East Providence, RI  02915",(401) 434-0113 ,(401) 434-0335 ,www.bayviewacademy.org/
10303,PK - PK,PK Only,240 Crescent View Avenue      ,"East Providence, RI  02915",(401) 433-1055 ,, 
10305,PK - 12,Elementary/Secondary,1000 Eddy Street,"Providence, RI  02905",(401) 533-9100 ,(401) 533-9101 ,
10310,PK - KG,Elementary,411 Narragansett Park Drive,"Rumford, RI  02916",(401) 434-1118 ,,
10313,09 - 12,Secondary,37 North Blossom,"East Providence, RI  02914",(401) 649-6527 ,,www.eecari.org
10333,PK - 08,PK-3/Elementary,100 Grove AvenuePO Box 14423,"East Providence, RI  02914",(401) 434-6913 ,(401) 434-7431 ,
10406, - ,Postsecondary,54 Water Street               ,"East Providence, RI  02914-5022",(401) 434-4840 ,,www.mtti.tec.ri.us
10802,,,1000 Eddy Street,"East Providence, RI  02905",(401) 533-9100 ,(401) 533-9101 ,
10804,,,1011 Veterans Memorial Parkway,"Riverside, RI  02915",(401) 432-1409 ,,
10806,,,833 Willett Avenue,"Riverside, RI  02915",(401) 437-4624 ,,
10841,,,115 Williams Avenue,"East Providence, RI  02914",(401) 434-6776 ,,
108A1,,,1609 Pawtucket Avenue,"East Providence, RI  02916",(401) 434-1750 ,(401) 434-1550 ,
108A3,,,Hull Street,"East Providence, RI  02914",(401) 435-7509 ,,
108A5,,,,,,,
108A8,,,386 Willett Avenue,"Riverside, RI  02915",(401) 245-2833 ,,
108B0,,,60 Bart Avenue,"Riverside, RI  02915",(401) 245-2833 ,,
108B3,,,33 Hoppin Avenue,"East Providence, RI  02914",(401) 433-1717 ,,
108B5,,,60 Bart Drive,"Riverside, RI  02915",,,
108B7,,,Clyde Avenue,"East Providence, RI  02907",(401) 831-1119 ,,
108B9,,,75 Fort Street,"East Providence, RI  02914",,,
108C1,,,667 Waterman Ave,"East Providence, RI  02914",,,
10901, - ,Other,,,,,
10990,PK - 12,Other,,,,,
10998,PK - 12,Other,,,,,
12,KG - 05,,160 Foster Ctr Rd/Isaac ,"Foster, RI  02825",(401) 647-5100 ,(401) 647-3750 ,http://paineschool.org/wp/
12190,KG - 05,Other,Captain Isaac Paine School160 Foster Center Road,"Foster, RI  02825",(401) 647-5100 ,(401) 647-3750 ,http://www.paineschool.org/
12900,PK - 12,Other,,,,,
12990,PK - 12,Other,,,,,
12998,PK - 12,Other,,,,,
13,PK - 05,,Glocester Town Hall1145 Putnam Pike P.O.Box B,"Chepachet, RI  02814",(401) 568-4160 ,(401) 568-5850 ,www.glocesterri.org/school.htm
13104,PK - 05,PK-3/Elementary,111 Reynolds Road/Rte 94,"Chepachet, RI  02814",(401) 567-0350 ,(401) 568-4104 ,www.ri.net/schools/Glocester/WGES/home.html
13301,03 - 12,Elementary/Secondary,63 Harmony Hill Road,"Chepachet, RI  02814",(401) 949-0690 ,(401) 949-4412 ,www.hhs.org
13801,,,63 Harmony Hill Road,"Chepachet, RI  02814",(401) 949-0690 ,(401) 949-4290 ,
138A1,,,Snake Hill Road,"Glocester, RI  ",,,
13900,PK - 12,Other,,,,,
13990,PK - 12,Other,,,,,
13998,PK - 12,Other,,,,,
15,PK - 12,,76 Melrose Avenue,"Jamestown, RI  02835",(401) 423-7020 ,(401) 423-7022 ,www.jamestownri.com/school/
15102,PK - 04,Elementary,76 Melrose Avenue,"Jamestown, RI  02835",(401) 423-7020 ,(401) 423-7022 ,www.jamestownri.com/school/melroseave.htm
15801,,,North Road,"Jamestown, RI  02835",,,
15990,PK - 12,Other,,,,,
15998,PK - 12,Other,,,,,
16,PK - 12,,10 Memorial Avenue ,"Johnston, RI  02919",(401) 233-1900 ,(401) 233-1910 ,www.johnstonschools.org
16106,01 - 05,Elementary,14 Brown Avenue,"Johnston, RI  02919",(401) 934-0270 ,(401) 934-2115 ,brown.johnstonschools.org/
16109,01 - 05,Elementary,100 Theresa Street,"Johnston, RI  02919",(401) 831-4619 ,(401) 421-5660 ,winsor.johnstonschools.org/
16111,06 - 08,Middle,10 Memorial Avenue,"Johnston, RI  02919",(401) 233-1930 ,(401) 233-1943 ,fms.johnstonschools.org/
16114,KG - KF,Elementary,10 Memorial Avenue,"Johnston, RI  02919",(401) 233-0054 ,(401) 233-0081 ,www.johnstonschools.org
16190,PK - 12,Other,10 Memorial Avenue,"Johnston, RI  02919",(401) 233-1900 ,(401) 233-1910 ,http://www.johnstonschools.org/
16302,KG - KG,PK-3/Elementary,2952 Hartford Avenue,"Johnston, RI  02919",(401) 934-2807 ,,
16330,PK - PK,PK Only,10 Waterman Avenue            ,"Johnston, RI  02919",(401) 231-3355 ,, 
16334,PK - 12,PK-3/Elementary,2119 Hartford Avenue,"Johnston, RI  02919",(401) 934-0202 ,(401) 934-1758 ,
