code,type,status,name,dist,config,nces,street1,street2,city,zip,phone,url,p_name,p_title
04912,Alternative Education School (Public School),Active,Central Falls Even Start,,Yes,,521 Dexter Street,,Central Falls,02863,4017276177,,Jackeline  Parra,Director
04913,Alternative Education School (Public School),Active,Progreso Latino,,Yes,,626 Broad Street,,Central Falls,02863,4017285920,www.progresolatino.org,"Mario  Bueno, Zelma  Malave","Ex. Director, Director"
04990,Special Education (Special Education),Active,Private School - No Assigned Code                 ,Central Falls,No,,,,,,,,,
04997,Special Education (Special Education),Active,Home Instruction                                  ,Central Falls,No,,,,,,,,,
04998,Special Education (Special Education),Active,Out-Of-State Placement                            ,Central Falls,Yes,,,,,,,,,
04999,Special Education (Special Education),Active,Homebound/Hospitalized                            ,Central Falls,Yes,,,,,,,,,
06023,Program (School Within School) (Public School),Active,Coventry VTA,Coventry,,,,,,,,,,
06104,Public LEA School (Public School),Active,Alan Shawn Feinstein Middle School Of Coventry,Coventry,Middle,440021000465,15 Foster Drive,,Coventry,02816,4018229426,asfms.net/,Arthur  Lisi,Principal
06109,Public LEA School (Public School),Active,Western Coventry School,Coventry,Elementary,440021000041,4588 Flat River Road,,Coventry,02816,4013973355,schools.coventryschools.net/western/,Amy  Anzalone,Principal
06112,Public LEA School (Public School),Active,Hopkins Hill School,Coventry,Elementary,440021000035,95 Johnson Boulevard,,Coventry,02816,4018229477,schools.coventryschools.net/hh/,Kathryn  Tancrelle,Principal
06116,Public LEA School (Public School),Active,Tiogue School,Coventry,Yes,440021000365,170 East Shore Drive,,Coventry,02816,4018229460,schools.coventryschools.net/tiogue/,Louise   Seitsinger,Principal
06117,Public LEA School (Public School),Active,Blackrock School,Coventry,Yes,440021000031,12 LaCasa Drive,,Coventry,02816,4018229450,schools.coventryschools.net/Blackrock/,Nicole  Hitchener,Principal
06119,Public LEA School (Public School),Active,Coventry High School,Coventry,400030,440021000032,40 Reservoir Road,,Coventry,02816,4018229499,schools.coventryschools.net/highschool/,Michael J. Hobin,Principal
06121,Public LEA School (Public School),Active,Washington Oak School,Coventry,Yes,440021000034,801 Read School House Road,,Coventry,02816,4013971976,www.coventryschools.net,Don  Cowart,Principal
06123,Career Tech (Public School),Active,The Regional Career and Technical Center at Coventry HS,Coventry,High,440021000355,40 Reservoir Road,,Coventry,02816,4018229499,www.coventryschools.net/hs,Lori  Ferguson,Director
06190,District Admin (Public School),Active,Coventry Public Schools,Coventry,Elementary/Middle/High,,1675 Flat River Road,,Coventry,02816,4018229400,www.coventryschools.net,Mike  Convery,Superintendent
06204,Catholic School (Religious School),Active,Father John V. Doyle School,Catholic Schools,No,,343 South Main Street,,Coventry,02816,4018213756,www.ri.net/RInet/Fr_Doyle,Daniel  Hodes,Principal
06302,Pre School (Private School),Active,"Creative Child, Inc.",,Yes,,613 Tiogue Avenue,,Coventry,02816,4016153846,,Lori E. Lanoue,Director
06303,Special Education (Special Education),Active,Groden Center South,,Yes,,2 St. Vincent DePaul,,Coventry,02816,4016152600,www.grodencenter.org,"Gerald  Groden, June  Groden",Ex. Directors
06323,Pre School (Private School),Active,"CHILD, Inc-Cady St.                               ",,Yes,,23 Cady Street                ,,Coventry,02816,4018233228, ,Lynda  Dickinson,Director
06324,Pre School (Private School),Active,Raggedy Ann and Andy Nursery School               ,,Yes,,179 Hopkins Hollow Road     ,,Greene,02827,4013972520, ,Sondra J. Hadfield,Director
06900,Home School (Home School),Active,Coventry Home Schooling,Coventry,No,,,,,,,,,
06901,Special Education (Special Education),Active,Children's Nook                                   ,,No,,,,,,,,,
06902,Special Education (Special Education),Active,"Coventry Child, Inc.                              ",,No,,,,,,,,,
06903,Special Education (Special Education),Active,Tiny Tots Nursery School                          ,,No,,,,,,,,,
06904,Special Education (Special Education),Active,Apple A Day                                       ,,No,,,,,,,,,
06906,Special Education (Special Education),Active,Little Oakers Preschool,,No,,,,,,,,,
06907,Special Education (Special Education),Active,Child Care Plus,,No,,,,,,,,,
06908,Special Education (Special Education),Active,"Community Solutions, Inc.",Coventry,,,344 Hopkins Hill Road,,Coventry,02816,4018211851,,,
06990,Special Education (Special Education),Active,Private School - No Assigned Code                 ,Coventry,No,,,,,,,,,
06997,Special Education (Special Education),Active,Home Instruction                                  ,Coventry,No,,,,,,,,,
06998,Special Education (Special Education),Active,Out-Of-State Placement                            ,Coventry,Yes,,,,,,,,,
06999,Special Education (Special Education),Active,Homebound/Hospitalized                            ,Coventry,Yes,,,,,,,,,
07032,Program (School Within School) (Public School),Active,Cranston VTA,Cranston,No,,,,,,,,,
07103,Public LEA School (Public School),Active,Oak Lawn School,Cranston,Elementary,440024000059,36 Stoneham Street,,Cranston,02920,4012708004,oaklawnschool.wix.com/index,James  Zanfini,Principal
07110,Public LEA School (Public School),Active,Daniel D. Waterman School,Cranston,Elementary,440024000046,722 Pontiac Avenue,,Cranston,02910,4012708013,ddwatermanschool.weebly.com/,Paul  DePalma,Principal
07112,Public LEA School (Public School),Active,Chester W. Barrows School,Cranston,Elementary,440024000043,9 Beachmont Avenue,,Cranston,02905,4012708160,cpsed.net/barrows/revised/site/Welcome.html,Katrina  Pillay,Principal
07113,Public LEA School (Public School),Active,Cranston High School East,Cranston,400035,440024000044,899 Park Avenue,,Cranston,02910,4012708126,chse.cpsed.net/,Sean  Kelly,Principal
07115,Public LEA School (Public School),Active,Hugh B. Bain Middle School,Cranston,Middle,440024000053,135 Gansett Avenue,,Cranston,02910,4012708010,bainhome.weebly.com/,Jenny  Remka,Principal
07116,Public LEA School (Public School),Active,William R. Dutemple School,Cranston,Elementary,440024000068,32 Garden Street,,Cranston,02910,4012708104,cpsed.net/dutemple/INDEX2.htm,Beth  Basile-Daggett,Principal
07117,Public LEA School (Public School),Active,Edward S. Rhodes School                           ,Cranston,Elementary,440024000049,160 Shaw Avenue,,Cranston,02905,4012708110,edward-s-rhodes.wikispaces.com/,Erica  Stackhouse,Principal
07118,Public LEA School (Public School),Active,Eden Park School,Cranston,Elementary,440024000047,180 Oakland Avenue,,Cranston,02910,4012708029,edenparkelementary.weebly.com/,Courtney  Sevigny,Principal
07119,Public LEA School (Public School),Active,Gladstone Street School,Cranston,Elementary,440024000051,50 Gladstone Street,,Cranston,02920,4012708080,gladstoneschool.weebly.com/,Susan  Buonanno,Principal
07120,Public LEA School (Public School),Active,Stadium School,Cranston,Yes,440024000063,100 Crescent Avenue,,Cranston,02910,4012708188,stadiumelementary.weebly.com/index.html,Cheri  Sacco,Principal
07121,Public LEA School (Public School),Active,Woodridge School,Cranston,Elementary,440024000069,401 Budlong Road,,Cranston,02920,4012708007,woodridgeschool.weebly.com/,Charlotte  Josephs,Principal
07122,Public LEA School (Public School),Active,Garden City School                                ,Cranston,Yes,440024000050,70 Plantations Drive,,Cranston,02920,4012708073,www.gardencityelementaryschool.com/index.html,Tonianne  Napolitano,Principal
07123,Public LEA School (Public School),Active,Park View Middle School,Cranston,Middle,440024000060,25 Park View Boulevard,,Cranston,02910,4012708090,cpsed.net/pview/,Michael  Crudale,Principal
07124,Public LEA School (Public School),Active,George J. Peters School,Cranston,Elementary,440024000351,15 Mayberry Street,,Cranston,02920,4012708199,www.cpsed.net/,Patricia  Caporelli,Principal
07125,Public LEA School (Public School),Active,Arlington School,Cranston,Elementary,440024000042,155 Princess Avenue,,Cranston,02920,4012708179,arlingtonallstars.wikispaces.com/,Michelle  David,Principal
07126,Public LEA School (Public School),Active,Cranston High School West                         ,Cranston,400036,440024000045,80 Metropolitan Avenue,,Cranston,02920,4012708049,cpsed.net/chsw/index.htm,Thomas  Barbieri,Principal
07127,Public LEA School (Public School),Active,Stone Hill School                                 ,Cranston,Yes,440024000064,21 Village Avenue,,Cranston,02920,4012708022,cpsed.net/stonehil/,Danielle  DeSimone,Principal
07128,Public LEA School (Public School),Active,Glen Hills School,Cranston,Yes,440024000052,50 Glen Hills Drive,,Cranston,02920,4012708005,www.glen-hills.net/,John  DeCristofaro,Principal
07129,Public LEA School (Public School),Active,Western Hills Middle School                       ,Cranston,Middle,440024000067,400 Phenix Avenue,,Cranston,02920,4012708030,cpsed.net/whills/,,
07130,Public LEA School (Public School),Active,Edgewood Highland School,Cranston,Elementary,440024000048,160 Pawtuxet Avenue,,Cranston,02905,4012708065,edgewoodhighlandschool.wikispaces.com/,Marlene  Gamba,Principal
07132,Career Tech (Public School),Active,Cranston Area Career Technical Center,Cranston,High,440024000458,100 Metropolitan Avenue,,Cranston,02920,4012708070,www.cpsed.net/cactc,Gerry  Auth,Director
07134,Public LEA School (Public School),Active,Hope Highlands Elementary School,Cranston,Elementary,440024000007,300 Hope Road,,Cranston,02921,4012708148,www.hopehighlands.net/Pages/default.aspx,Roxanne  Gustafson,Principal
07135,Local Charter (Public School),Active,NEL/CPS Construction Career Academy,Cranston,High,440024000229,4 Sharpe Drive,,Cranston,02920,4012708692,http://nelcpscca.wix.com/nelcpscca,Dennis  Curran,Principal
07136,Public LEA School (Public School),Active,Orchard Farms Elementary School,Cranston,Yes,440024000277,1555 Scituate Avenue,,Cranston,02921,4012708801,sites.google.com/site/orchardfarmselementaryschool/,Kim  Magnelli,Principal
07190,District Admin (Public School),Active,Cranston Public Schools,Cranston,Elementary/Middle/High,,845 Park Avenue,,Cranston,02910,4012708170,www.cpsed.net,Jeannine  Nota-Masse,Superintendent
07202,Catholic School (Religious School),Active,Immaculate Conception Catholic Regional,Catholic Schools,No,,235 Garden Hills Drive ,,Cranston,02920,4019427245,www.iccatholicschool.org,Brian  Cordeiro,Principal
07203,Catholic School (Religious School),Active,St. Mary School,Catholic Schools,No,,85 Chester Avenue,,Cranston,02920,4019444107,www.stmaryschoolri.org,Lisa M. Lepore,Principal
07205,Catholic School (Religious School),Active,St. Paul School,Catholic Schools,No,,1789 Broad Street,,Cranston,02905,4019412030,www.saintpaulschoolcranston.org,John F. Corry,Principal
07301,Special Education (Special Education),Active,Cornerstone School,,Yes,,665 Dyer Avenue,,Cranston,02920,4019422388,,Patricia  Krakowsky,Director
07302,Pre School (Private School),Active,St. David's Preschool,,Yes,,200 Meshanticut Valley Pky.,,Cranston,02920,4019445377,,Mary Ann Crins,Director
07303,Pre School (Private School),Active,The Little Shepherd Preschool                    ,,Yes,,565 Pontiac Avenue            ,c /o Philip's Baptist Church,Cranston,02910,4014612173, ,Pamela  Lukowicz,Director
07304,"Independent (PK, Elem/Sec)  (Private School)",Active,NFI/ACE Program,DCYF,Yes,440000900410,735 New London Avenue,,Cranston,02920,4019462020,,Ted  Holmes,Program Director
07308,Pre School (Private School),Active,Kid's Kingdom                                     ,,Yes,,116 Puritan Avenue            ,,Cranston,02920,4014649665, ,Debbie  Sullivan,Director
07309,Pre School (Private School),Active,Cranston Child Development Center,,Yes,,848 Atwood Avenue,,Cranston,02920,4019435160,,Antonia  Enright,Director
07311,Pre School (Private School),Active,Western Cranston Learning Center                  ,,Yes,,140 Natick Avenue             ,,Cranston,02920,4019466505, ,Lauren  Gardiner,Director
07312,Pre School (Private School),Active,Sunshine Pre-School                               ,,Yes,,690 Dyer Avenue               ,,Cranston,02920,4019462450, ,Diane L. Paliotta,Director
07315,Private School (Private School),Active,The Children's Workshop,,,,546 Budlong Road,,Cranston,02920,4012283317,,Marcie  Maurello,Director
07327,Special Education (Special Education),Active,Valley School Cranston,,Yes,,83 Rolfe Square,,Cranston,02910,4019419707,,Jamie  Hollenbeck,Clinical Director
07331,Pre School (Private School),Active,Happy Hollow Nursery School,,Yes,,139 Ocean Avenue,c/o Trinity Church,Cranston,02905,4019411990,,Teresa M. Cowell,Director
07336,Pre School (Private School),Active,Learning Brooke,,Yes,,1170 Pontiac Avenue,,Cranston,02920,4019413705,,Brooke  Brown,Director
07342,Pre School (Private School),Active,Carriage House Day Care                           ,,Yes,,156 Shaw Avenue               ,,Cranston,02905,4014611660, ,Marion A. McGrath,Director
07345,Pre School (Private School),Active,Faith Nursery School                              ,,Yes,,499 Hope Road                 ,,Cranston,02921,4018224949, ,Claire  Motta,Director
07350,Pre School (Private School),Active,Pumpkin Patch Early Learning Center,,Yes,,220 Comstock Parkway,,Cranston,02921,4019466700,,Erica  Garber,Director
07351,Pre School (Private School),Active,Miss Lee Ann's Early Learning Center,,Yes,,180 Oaklawn Avenue,,Cranston,02920,4019423331,,Lee Ann Meehan,Director
07353,"Independent (PK, Elem/Sec)  (Private School)",Active,A Childs University,,Yes,,695 Park Avenue,,Cranston,02910,4014611880,,Lynsey  Colgan,Director
07406,Independent (Higher Education) (Higher Education),Active,Paul Mitchell-The School,,No,,379 Atwood Avenue,,Cranston,02920,4019469920,www.paulmitchelltheschool.com,Michael K. Galvin,Director
07407,Independent (Higher Education) (Higher Education),Active,Toni and Guy Hairdressing Academy,,No,,Marshalls's Plaza,1400 Oaklawn Avenue,Cranston,02920,4014633633,www.toniguyacademy.com,Mindy  Grebstein,Director
07702,State Operated School (Public School),Active,DCYF Alternative Education Program,DCYF,Middle/High,440000900413,57 Power Road,,Cranston,02920,4014627248,,William F. Cauley,Principal
07704,State Operated School (Public School),Active,"RI Department of Corrections, Education Unit",Dept of Corrections,No,,"18 Wilma Schesler Lane, Dix Building",,Cranston,02920,4014622507,,Ralph  Orleck,Principal
07900,Home School (Home School),Active,Cranston Home Schooling,Cranston,No,,,,,,,,,
07901,Special Education (Special Education),Active,Cranston Head Start                               ,,No,,,,,,,,,
07902,Special Education (Special Education),Active,Noah's Ark Daycare Center,,No,,1308 Phenix Avenue,,Cranston,02921,,,,
07903,Special Education (Special Education),Active,Atwood Performing Arts,,No,,,,,,,,,
07904,Special Education (Special Education),Active,Pumpkin Patch Learning Center,,No,,220 Comstock Parkway,,Cranston,02921,,,,
07905,Special Education (Special Education),Active,Creative Center,,No,,,,,,,,,
07910,Special Education (Special Education),Active,Head Start Atwood Ave,,No,,848 Atwood Avenue,,Cranston,02920,,,,
07911,Special Education (Special Education),Active,Head Start Gansett Avenue,,No,,155 Gansett Avenue,,Cranston,02910,,,,
07912,Special Education (Special Education),Active,Head Start Edgewood,,No,,160 Pawtucext Avenue,,Cranston,02905,,,,
07913,Special Education (Special Education),Active,Artists Exchange,,,,50 Rolfe Square,,Cranston,02910,4014909475,,,
07974,Alternative Education School (Public School),Active,Cranston Alternate Education ,,Yes,,4 Sharpe Drive,,Cranston,02920,4012708176,,Gayle   Dzekevich,Director
07975,Alternative Education School (Public School),Active,Institute for Labor Studies & Research,,Yes,,99 Bald Hill Rd,,Cranston,02920,4014639900,,Sophie  Tan,Coordinator
07976,Alternative Education School (Public School),Active,Rhode Island Department of Corrections,,Yes,,18 Wilma Schesler Lane ,"Dix Bld, Education Unit",Cranston,02920,4014621415,,"Lee  Allison, Ralph  Orleck","Education Director, Special Ed. Director"
07990,Special Education (Special Education),Active,Private School - No Assigned Code                 ,Cranston,No,,,,,,,,,
07997,Special Education (Special Education),Active,Home Instruction                                  ,Cranston,No,,,,,,,,,
07998,Special Education (Special Education),Active,Out-Of-State Placement                            ,Cranston,Yes,,,,,,,,,
07999,Special Education (Special Education),Active,Homebound/Hospitalized                            ,Cranston,Yes,,,,,,,,,
08107,Public LEA School (Public School),Active,B.F. Norton Elementary School,Cumberland,Elementary,440027000039,364 Broad Street,,Cumberland,02864,4017227610,www.cumberlandschools.org/content/bf-norton-school,Dina  Cerra,Principal
08108,Public LEA School (Public School),Active,Garvin Memorial School,Cumberland,Elementary,440027000081,1364 Diamond Hill Road,,Cumberland,02864,4013332557,www.cumberlandschools.org/content/garvin-memorial-school,Judith  Bassignani,Principal
08109,Public LEA School (Public School),Active,Community School,Cumberland,Elementary,440027000075,15 Arnold Mills Road,,Cumberland,02864,4013335724,www.cumberlandschools.org/content/community-school,Cindy  Giroux,Principal
08110,Public LEA School (Public School),Active,John J. McLaughlin Cumberland Hill School,Cumberland,Elementary,440027000077,205 Manville Hill Road,,Cumberland,02864,4016581660,www.cumberlandschools.org/content/john-j-mclaughlin-cumberland-hill-school,Debra  Malcolm,Principal
08112,Public LEA School (Public School),Active,Ashton School,Cumberland,Elementary,440027000070,130 Scott Road,,Cumberland,02864,4013330554,www.cumberlandschools.org/content/Ashton,Nidia  Karbonik,Principal
08114,Public LEA School (Public School),Active,Cumberland High School,Cumberland,400037,440027000076,2600 Mendon Road,,Cumberland,02864,4016582600,www.cumberlandschools.org/content/cumberland-high-school,Alan  Tenreiro,Principal
08115,Public LEA School (Public School),Active,Joseph L. McCourt Middle School,Cumberland,Middle,440027000078,45 Highland Avenue,,Cumberland,02864,4017252092,www.cumberlandschools.org/content/joseph-l-mccourt-middle-school,Jason  Masterson,Principal
08116,Public LEA School (Public School),Active,North Cumberland Middle School,Cumberland,Middle,440027000082,400 Nate Whipple Highway,,Cumberland,02864,4013336306,www.cumberlandschools.org/content/north-cumberland-middle-school,Bethany   Coughlin,Principal
08120,Collaborative (Public School),Active,Northern RI Collaborative,Northern RI Collaborative,Yes,,640 George Washington Hwy,"Building B, Suite 200",Lincoln,02865,4014952000,www.nric-ri.org,"Joseph M. Nasif Jr., Joseph M Nasif Jr.","Interim Director, Ex. Director"
08121,Public LEA School (Public School),Active,Cumberland Preschool Center,Cumberland,Yes,440027000188,130 Scott Road,,Cumberland,02864,4016581600,www.cumberlandschools.org/schools/PreSchool/index.htm,Kathleen  Gibney,Principal
08190,District Admin (Public School),Active,Cumberland Public Schools,Cumberland,Elementary/Middle/High,,2602 Mendon Road,,Cumberland,02864,4016581600,www.cumberlandschools.org,Robert  Mitchell,Superintendent
08201,Catholic School (Religious School),Active,Mercymount Country Day School,Catholic Schools,No,,35 Wrentham Road,,Cumberland,02864,4013335919,www.mercymount.org,Martha  Mulligan R.S.M.,Principal
08301,Pre School (Private School),Active,Academy for Little Children-Cumberland,,Yes,,35 Industrial Road,,Cumberland,02864,4013334222,,Cathy  Ellis,Director
08302,Pre School (Private School),Active,Cherry Blossom Early Enrichment School,,Yes,,3191 Mendon Road,,Cumberland,02864,4016582829,,Deborah  Pierini,Director
08322,Pre School (Private School),Active,Four Corners YMCA Early Learning Center,,Yes,,160 Bear Hill Road,,Cumberland,02864,4013336402,,Louisa  Tompkins,Director
08330,Pre School (Private School),Active,Emmanuel Nursery School                           ,,Yes,,120 Nate Whipple Highway      ,,Cumberland,02864,4016581510, ,Judy  Jackson,Director
08331,Pre School (Private School),Active,The Neighborhood Nursery                          ,,Yes,,2550 Diamond Hill Road        ,,Cumberland,02864,4013330999, ,Claire  DaSilva,Director
08332,Pre School (Private School),Active,Hand in Hand Christian Preschool,,Yes,,126 Angell Road,,Cumberland,02864,4013330303,,Laurie  Denio,Director
08601,Charter School (Public School),Active,Blackstone Valley Prep Elementary School,"Blackstone Valley Prep, A RI Mayoral Academy",Elementary,440001500473,291 Broad Street,,Cumberland,02864,4013353133,www.blackstonevalleyprep.org/our-schools/elementary-school-1,"Jeremy  Chiappetta, Kyle  Quadros","Head of School, Principal"
08602,Charter School (Public School),Active,Blackstone Valley Prep Middle School,"Blackstone Valley Prep, A RI Mayoral Academy",Middle,440001500475,909 Lonsdale,,Central Falls,02863,4014758829,www.blackstonevalleyprep.org/our-schools/middle-school,Joy  Souza,Principal
08603,Charter School (Public School),Active,Blackstone Valley Prep Elementary 2 School,"Blackstone Valley Prep, A RI Mayoral Academy",Elementary,440001500480,52 Broad St.,,Cumberland,02864,4013056860,www.blackstonevalleyprep.org,"Jeremy  Chiappetta, Colleen  Colarusso","Director, Principal"
